+-------------------------------------+----------------------------------------------------------------------+
|               Package               |                               License                                |
|            soupsieve 2.5            |                         (Licence not found)                          |
|            spflow 0.0.40            |                               UNKNOWN                                |
|           stack-data 0.6.3          |                                 MIT                                  |
|          statsmodels 0.14.0         |                             BSD License                              |
|           stevedore 5.1.0           |                               UNKNOWN                                |
|              sympy 1.12             |                                 BSD                                  |
|           syne-tune 0.10.0          |                         (Licence not found)                          |
|            tabulate 0.9.0           |                                 MIT                                  |
|             tblib 1.7.0             |                             BSD-2-Clause                             |
|            tenacity 8.2.3           |                              Apache 2.0                              |
|          tensorwatch 0.9.1          |                                 MIT                                  |
|           termcolor 2.3.0           |                                 MIT                                  |
|         threadpoolctl 3.2.0         |                             BSD-3-Clause                             |
|          tifffile 2023.7.10         |                                 BSD                                  |
|             toml 0.10.2             |                                 MIT                                  |
|             tomli 2.0.1             |                         (Licence not found)                          |
|             toolz 0.12.0            |                                 BSD                                  |
|             torch 2.1.1             |                                BSD-3                                 |
|          torchvision 0.16.1         |                                 BSD                                  |
|            tornado 6.3.3            |                              Apache-2.0                              |
|             tqdm 4.61.1             |                        MPLv2.0, MIT Licences                         |
|           traitlets 5.13.0          |                         BSD 3-Clause License                         |
|          transforms3d 0.4.1         |                             BSD license                              |
|             triton 2.1.0            |                         (Licence not found)                          |
|       typing-extensions 4.8.0       |                         (Licence not found)                          |
|            tzdata 2023.3            |                              Apache-2.0                              |
|             ujson 5.8.0             |                         (Licence not found)                          |
|         url-normalize 1.4.3         |                                 MIT                                  |
|           urllib3 1.26.18           |                                 MIT                                  |
|            wcwidth 0.2.10           |                                 MIT                                  |
|             wheel 0.42.0            |                         (Licence not found)                          |
|       widgetsnbextension 4.0.9      |                         BSD 3-Clause License                         |
|             wrapt 1.16.0            |                                 BSD                                  |
|            xgboost 1.5.0            |                              Apache-2.0                              |
|           xmltodict 0.13.0          |                                 MIT                                  |
|              yacs 0.1.8             |                               UNKNOWN                                |
|              zict 3.0.0             |                                 BSD                                  |
|             zipp 3.17.0             |                         (Licence not found)                          |
+-------------------------------------+----------------------------------------------------------------------+
